"rank","name","key","vendor","installs","downloads","reviews","stars","last_modified","release_date","cloud_version_found","min_annual_price_usd","price_500_users_usd","price_2000_users_usd","tagline","marketplace_url","seller_status","paid_customers","revenue","asking_price","transfer_interest"
"176","Maintenance for Jira","com.itlab.jira.plugins.maintenance-mode","it.Lab","17","2644","1","5","2025-12-11T11:33:22.727Z","2025-08-14","false","65","500","880","Perform maintenance efficiently while Jira is still running","https://marketplace.atlassian.com/apps/1232094/maintenance-for-jira?tab=overview","unknown","unknown","unknown","unknown","unknown"
"177","SLA Timer for Jira","com.jplugs.slatimer","jPlugs","17","6335","2","3.75","2026-01-23T18:57:33.107Z","2026-01-23","false","500","1500","3000","Easy Service Level Agreements for customers and vendors","https://marketplace.atlassian.com/apps/1215592/sla-timer-for-jira?tab=overview","unknown","unknown","unknown","unknown","unknown"
"178","Maintenance Mode for Jira (the Original)","com.accxia.jira.plugins.maintenance.Maintenance","Accxia","16","4041","0","0","2025-12-11T11:26:25.042Z","2025-04-16","false","460","620","800","'Maintenance Mode for Jira' - Backend based, control and prevent user access during Changes or Upgrades to your Jira Instance","https://marketplace.atlassian.com/apps/1218590/maintenance-mode-for-jira-the-original?tab=overview","unknown","unknown","unknown","unknown","unknown"
"179","Alert Catcher - Zabbix SIEM integration with Jira","biz.softlist.catcher.AlertCatcher","Softlist Sp. z o.o.","15","4527","3","5","2026-02-27T13:25:08.096Z","2025-03-17","false","100","1035","3055","Connect your SIEM (Security Information and Event Management) with Jira. Support connection with McAfee, Zabbix, Paessler PRTG","https://marketplace.atlassian.com/apps/1221707/alert-catcher-zabbix-siem-integration-with-jira?tab=overview","unknown","unknown","unknown","unknown","unknown"
"180","Keychain - Delegation for Jira","tr.com.obss.atlassian.delegation","OBSS","15","4170","2","5","2026-07-02T17:56:30.817Z","2026-03-04","false","188","1000","1875","The most comprehensive Jira solution to delegate permissions and approvals & build out of office scenarios","https://marketplace.atlassian.com/apps/1225037/keychain-delegation-for-jira?tab=overview","unknown","unknown","unknown","unknown","unknown"
"181","Agent Extensions for Service Management","net.veniture.jira.vAgent","DC Factory","15","5457","2","5","2026-06-03T10:58:05.815Z","2026-06-03","false","4100","22700","54200","Improve the overview for agents in order to keep track of budgets and similar issues, context menu in queues, guest service portal","https://marketplace.atlassian.com/apps/1219769/agent-extensions-for-service-management?tab=overview","unknown","unknown","unknown","unknown","unknown"
"182","User Auditor for Jira","com.akeles.jira.plugins.JiraUserAuditor","Akeles Consulting","15","3762","1","5","2026-06-23T07:59:06.994Z","2026-06-23","false","500","800","1200","Export user project access permissions for all Jira projects to an Excel report for enterprise security compliance & access review","https://marketplace.atlassian.com/apps/1225092/user-auditor-for-jira?tab=overview","unknown","unknown","unknown","unknown","unknown"
"183","AI Issue Breakdown Assistant for Jira (Cloud & Private AI)","com.deview-studios.atlassian.jira.ai-issue-generator","Deview Studios","15","1657","0","0","2026-07-06T12:17:29.001Z","2026-07-06","false","400","3358","8153","Generate detailed user stories and test cases out of existing issues, using AI","https://marketplace.atlassian.com/apps/1234593/ai-issue-breakdown-assistant-for-jira-cloud-private-ai?tab=overview","unknown","unknown","unknown","unknown","unknown"
"184","Bulk Approvals for Jira Service Management","com.akeles.jira.plugins.servicedesk-approval","Akeles Consulting","14","4107","3","5","2026-05-05T07:36:44.897Z","2026-05-05","false","200","800","1500","Easier and Faster approvals with Clarity and Context","https://marketplace.atlassian.com/apps/1225095/bulk-approvals-for-jira-service-management?tab=overview","unknown","unknown","unknown","unknown","unknown"
"185","StoryPoints & Agile Tools for Jira","de.accxia.apps.jira.sw.tools.StoryPoints","Accxia","14","3156","1","5","2025-12-11T11:38:19.303Z","2023-03-01","false","80","350","500","Let’s stick to the (Story) Point - Improve Agile Estimation","https://marketplace.atlassian.com/apps/1220390/storypoints-agile-tools-for-jira?tab=overview","unknown","unknown","unknown","unknown","unknown"
"186","Zones","at.celix.jira.plugins.zones","celix Solutions GmbH","14","6932","1","5","2026-04-02T11:45:15.957Z","2026-04-02","false","375","2250","3000","Easily Manage Access for Customers and Suppliers and Responsiblities for Teams","https://marketplace.atlassian.com/apps/603936/zones?tab=overview","unknown","unknown","unknown","unknown","unknown"
"187","Amazon S3 Connector for Jira","org.hotovo.jira.amazon-s3-storage-connector-for-jira","TeamOps FACTORY (Solumiss Group)","13","4833","2","5","2026-03-04T00:01:52.980Z","2026-03-03","false","250","1000","2000","Link, manage, upload, rename and delete files from Amazon S3 Buckets or any S3 On-Premise Object Storages directly in Jira","https://marketplace.atlassian.com/apps/1213711/amazon-s3-connector-for-jira?tab=overview","unknown","unknown","unknown","unknown","unknown"
"188","Project Documentation for Jira","com.itlab.jira.plugins.project-documentation","it.Lab","13","3178","1","5","2026-03-18T14:49:06.952Z","2026-03-17","false","65","500","880","Automatically generate complete Jira project documentation containing all necessary information","https://marketplace.atlassian.com/apps/1231449/project-documentation-for-jira?tab=overview","unknown","unknown","unknown","unknown","unknown"
"189","Issue Link Filter for Jira","com.itlab.jira.plugins.issue-linked-event","it.Lab","13","6524","1","5","2025-12-11T11:44:01.528Z","2025-10-04","false","100","400","700","Freely filter links between issues and fire missing Issue Linked Events","https://marketplace.atlassian.com/apps/1217660/issue-link-filter-for-jira?tab=overview","unknown","unknown","unknown","unknown","unknown"
"190","User Directory API for Jira","nl.avisi.atlassian.user-directory-api","Avisi Apps bv","12","4125","4","5","2026-01-12T11:06:27.091Z","2026-01-12","false","200","1200","4800","The #1 User Directory API app: Get a list of directories | Get a list of users in a directory | Sync the directory instantly","https://marketplace.atlassian.com/apps/1212839/user-directory-api-for-jira?tab=overview","unknown","unknown","unknown","unknown","unknown"
"191","Mirrorlake Excel Importer","eu.mirrorlake.plugins.jira2excel","Mirrorlake Software","12","3562","1","5","2026-01-14T15:48:27.131Z","2026-01-14","false","110","600","1200","Connect Excel to Jira® and import ticket data directly to your worksheet","https://marketplace.atlassian.com/apps/1214371/mirrorlake-excel-importer?tab=overview","unknown","unknown","unknown","unknown","unknown"
"192","QR Issue Card Printer for Jira","jiraissuecardprinter.jiraissuecardprinter","Sngular","11","5878","4","4.0625","2026-07-02T17:50:18.974Z","2026-04-02","false","500","2000","4000","Keep the digital and real world connected with QR codes","https://marketplace.atlassian.com/apps/1215049/qr-issue-card-printer-for-jira?tab=overview","unknown","unknown","unknown","unknown","unknown"
"193","Vamhi Labele - Colored labels for Jira","com.vamhi.labele","Vamhi","11","2386","0","0","2026-04-13T10:51:28.226Z","2026-04-13","false","100","120","250","Revitalize Your Jira Workflow with Colorful Labels: Organize, Prioritize, and Thrive","https://marketplace.atlassian.com/apps/1231706/vamhi-labele-colored-labels-for-jira?tab=overview","unknown","unknown","unknown","unknown","unknown"
"194","Watermark for Jira and JSM","com.shdsd.plugin.watermarkForJira","DragonSoft","11","2572","0","0","2026-04-15T05:16:17.772Z","2026-04-15","false","300","1000","2000","Add watermark to Jira pages, protect the copyright and increase the security of information","https://marketplace.atlassian.com/apps/1229495/watermark-for-jira-and-jsm?tab=overview","unknown","unknown","unknown","unknown","unknown"
"195","Idea Hub - Initiatives and Product Discovery in Jira","com.almarise.apps.idea-hub","Almarise","11","4838","0","0","2025-12-11T11:10:49.255Z","2025-07-25","false","750","4000","5000","Turn your Jira into an easy-to-use Idea Management platform, driving ideation and innovation, to improve your products & services","https://marketplace.atlassian.com/apps/1223686/idea-hub-initiatives-and-product-discovery-in-jira?tab=overview","unknown","unknown","unknown","unknown","unknown"
